English Text	Russian Grammar	
The only people who never fail are those who never try.	[Никогда, Ни разу] не [ошибается, совершает ошибок] тот, кто [ничего не делает, бездействует].	subject
Failure is just another way to learn how to do something right.	[Bзрослеть, Учиться] на ошибках.	subject
I failed my way to success.	[Свой путь, Свою дорогу] к [успеху, удаче] я [нашел, однаружил] благодаря ошибкам.	subject
Every failure brings with it the seed of an equivalent success.	[В каждой, В любой, Во всякой] [беде, неудаче], кроме проблемы, есть зачаток равной а [иногда, в некоторых случаях, временами, порой] и большей пользы.	subject
Only those who dare to fail greatly can ever achieve greatly.	[Только, Лишь] те, кто [осмеливаются, готовы] потерпеть [серьёзную, крупную] неудачу, могут [достичь, добиться] [больших, значительных, существенных] успехов.	subject
It is hard to fail, but it is worse never to have tried to succeed.	[Тяжело, Тяжко] [терпеть, испытывать, осознавать свою, ощущать свою] неудачу, но [ещё, куда, гораздо, во много раз, значительно] хуже [никогда, вообще никогда] не [пытаться, пробовать, предпринимать попыток] [добиться успеха,  стремиться к успеху, добиться своей цели, стремиться к своей цели, идти к своему успеху,  идти к своей цели].	subject
Imagination is more important than knowledge.	[Надежда, Bоображение]  [сильнее, важнее, значимее] знания.	subject
Hold fast to dreams, for if dreams die, life is a broken winged bird that cannot fly.	[Крепко держитесь, Упорно держитесь] за [мечту, свою мечту, свою цель], ведь когда она [умирает, погибает], жизнь становиться подобна [сломавшей крыло птице, птице со сломанным крылом] [которая не может, неспособной] летать.	subject
The future belongs to those who believe in the beauty of their dreams.	[Война, Эта тема, Эта война, Война в Украине], [касается всех, затрагивает всех, касается каждого, затрагивает каждого, общее дело каждого, касается всех нас, затрагивает всех нас].	subject
Go confidently in the direction of your dreams. Live the life you have imagined.	[Гордо, Уверенно, Решительно, Без колебаний] следуй за своими [целями, мечтами]. [Действуй, Живи] так, [как хочется тебе, по своим правилам, как ты пожелаешь, тебе того хочется].	subject
You cannot depend on your eyes when your imagination is out of focus.	Вы не можете [доверять своим глазам, полагаться на свои глаза], когда [ваш разум рассеян, ваше воображение не сосредоточено, ваш разум в тумане, ваше воображение в тумане].	subject
[Return, Put away, Bring back] thy sword back, [for, as] all who [bring forth, take out] their sword, [with the sword, by it] [will perish, meet their death].	[Возврати, Отложи, Верни] меч твой обратно, [ибо, так как] все, [взявшие, доставшие] меч, [мечом, им] [погибнут, встретят свою смерть].	subject
I never think of the future it comes soon enough.	Я [стараюсь, пытаюсь] не [думать, заботиться, беспокоиться] о [будущем, грядущем], ведь оно [наступит, придёт, настанет] [очень, уже] скоро.	subject
Do not anticipate trouble or worry about what may never happen. Keep in the sunlight.	Не [бойтесь, ожидайте, предвосхищайте] беду и не [бойтесь того, беспокойтесь о том, думайте о том] , что может [никогда, вообще] не случиться. Выше голову!	subject
Take time to deliberate; but when the time for action arrives, stop thinking and go in.	[Взвесьте, Обдумате, Продумайте] всё как можно [точнее, тщательнее], но когда наступит [момент, время] [реагировать, для действий], перестаньте думать и начните [действовать, делать].	subject
The mind that is anxious about future events is miserable.	Несчастлив тот [разум который, ум который, разум что, человек который],  беспокоится о [возможных, будущих, грядущих] событиях.	subject
Live in each season as it passes; breathe the air, drink the drink, taste the fruit, and resign yourself to the influences of each.	[Живи, Наслаждайся жизнью, Проживи жизнь, Распоряжайся своей жизнью] так, как тебе хочется. Дыши [воздухом, полной грудью], пей воду, [ешь, кушай] фрукты. И [наслаждайся полученными ощущениями, получай удовольствие от ощущений].	subject
I avoid looking forward or backward, and try to keep looking upward.	Я [избегаю, зарекаюсь] [заглядывать, смотреть] вперед или назад и стараюсь смотреть только [наверх, вверх].	subject
The more difficulties one has to encounter, within and without, the more significant and the higher in inspiration his life will be.	Чем больше [трудностей, препятствий, опасностей] встречает человек на [своем пути, жизненном пути], тем [больше, сильнее] он [ценить свою жизнь, дорожит своей жизнью, ощущает ценность своей жизни].	subject
I was always looking outside myself for strength and confidence, but it comes from within. It is there all of the time.	Я [всегда, всё время, постоянно, вечно] искал силы и уверенности извне, но они [всегда, всё это время] были внутри.	subject
We can do anything we want to do if we stick to it long enough.	Мы [способны, можем] достичь всего, [чего, что] только [захотим, пожелаем], если будем [идти к этому, следовать за этим] достаточно долго.	subject
Our business in life is not to get ahead of others, but to get ahead of ourselves.	[Главная, Основная, Основополагающая] наша [задача, цель] в жизни [не в том, состоит не в том, залючается не в том], чтобы [опередить, обогнать] других, а в том, чтобы опередить [самих себя, себя самих, нас самих]. 	subject
Insist on yourself. Never imitate.	Не [беспокойтесь, волнуйтесь, тревожьтесь] ни о чем, если у вас есть [смелость, мужество, решимость, решительность, сила].	subject
Who looks outside, dreams. Who looks inside, awakes.	Те, кто [смотрят, глядят] по сторонам, [могут, умеют] [лишь, только] [грезить, мечтать], но [способные, отважившиеся, рискнувшие, осмелившиеся] заглянуть внутрь себя - [просыпаются, пробуждаются].	subject
It is not easy to find happiness in ourselves, and it is not possible to find it elsewhere.	[Нелегко, Тяжело, Трудно, Непросто] найти счастье в себе, но [в другом месте, где-либо ещё] [найти, отыскать, выискать, разыскать] его [невозможно, не получится, не выйдет].	subject
The only journey is the one within.	[Важнейший, Решающий, Самый главный, Самый важный] путь человека это тот по которому он решает [продвигаться, пойти, направится] [своим сердцем, своей душой].	subject
Follow your honest convictions, and stay strong.	Следуйте своим убеждениям и [оставайтесь сильными, будьте сильными, не теряйте силы].	subject
The happiness of your life depends upon the quality of your thoughts; therefore guard accordingly.	[Ваше счастье, Ваше удача, Ваш успех] зависит от ваших мыслей, [поэтому, так что] думайте соответствующе.	subject
Action may not always bring happiness; but there is no happiness without action.	[Деятельность, Активность] не всегда [может, способна] [принести, дать, доставить, обеспечить] счастье; но [нет, не бывает] счастья без деятельности.	subject
Happiness depends more on the inward disposition of mind than on outward circumstances.	[Pадость, Счастье] в большей степени зависит от внутреннего расположения [духа, ума], чем от внешних [фактов, обстоятельств].	subject
There is no happiness except in the realization that we have accomplished something.	Нет [радости, счастья], кроме как в [осознании, понимании] того, что мы [создали что то, достигли чего-то].	subject
Happiness is not a goal, but a by-product.	[Счастье, Блаженство] – это не [цель, мечта], а [продукт, результат] [труда, деятельности, упорной работы].	subject
Happiness is not a state to arrive at, but a manner of traveling.	[Радость, Счастье, Блаженство] — это не [чувство, состояние], которого [нужно, необходимо] достичь, а способ [жизни, существования, путешествия по жизни].	subject
Purpose is what gives life a meaning.	[Цель, Назначение] – это то, что придает [жизни, существованию] [смысл, значение].	subject
The significance of a man is not in what he attains but in what he longs to attain.	[Достоинство, Значение, Важность, Ценность] человека не в том, что он [достиг, получил, приобрёл, заработал], а в том, что он [жаждет, хочет, желает, собирается, планирует] [достичь, заполучить].	subject
In all things that you do, consider the end.	[Начиная что-либо, Приступая к чему либо, Берясь за что-либо], [думайте, подумайте] о том, как [будете это заканчивать, собираетесь это заканчивать, планируете это заканчивать, как это закончится, как это может закончится].	subject
Life can be pulled by goals just as surely as it can be pushed by drives.	Жизнь поддерживается [надеждами, желаниями, грёзами], но движут ею [побуждения, изменения, стремления, устремления].	subject
The virtue lies in the struggle, not in the prize.	[Добродетельность, Достоинство, Благородство] [заключается, проявляется] в готовности к борьбе, а не в желании [награды, вознаграждения].	subject
To reach a port, we must sail, not tie at anchor	[Чтобы, Если мы хотим] добраться до [порта, гавани], [мы должны, нам нужно] плыть, а не бросать якорь. 	subject
Success is the child of audacity.	[Успех, Счастье, Удача] – это дитя [смелости, отваги, мужества].	subject
The difference between a successful person and others is not a lack of strength, not a lack of knowledge, but rather a lack in will.	[Разница, Различие] между успешным и [обычным, простым] человеком [заключается, состоит] не в недостатке силы или [знаний, знания], а скорее в недостатке воли. 	subject
